disorder;disorder_OMIM;disorder_cat;symptom;symptom_cat;gene_symb;gene_OMIM;gene_cytoloc
fucosidosis;230000;lysosomal storage disease;hernia;Abnormality of connective tissue;FUCA1;612280;1p36.11
fundus albipunctatus;136880;fundus dystrophy;retinal flecks;Abnormality of the retina;PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1;179605;6p21.1
fundus albipunctatus;136880;fundus dystrophy;retinal flecks;Abnormality of the retina;RDH5;601617;12q13.2
fundus albipunctatus;136880;fundus dystrophy;retinal flecks;Abnormality of the retina;RHO, RP4, OPN2, CSNBAD1;180380;3q22.1
fundus albipunctatus;136880;fundus dystrophy;retinal flecks;Abnormality of the retina;RLBP1;180090;15q26.1
galactokinase deficiency;230200;galactosemia;hypergalactosemia;Impairment of galactose metabolism;GALK1;604313;17q25.1
galactosemia;230350;carbohydrate metabolic disorder;cognitive impairment;Abnormality of higher mental function;GALE;606953;1p36.11
galactosemia;230400;carbohydrate metabolic disorder;sepsis;Abnormality of immune system physiology;GALT;606999;9p13.3
gallbladder disease;611465;gastrointestinal system disease;polygenic inheritance;Multifactorial inheritance;ABCG8, GBD4;605460;2p21
gamma chain deficiency;300400;severe combined immunodeficiency;chronic oral candidiasis;Chronic mucocutaneous candidiasis;IL2RG, SCIDX1, SCIDX, IMD4;308380;Xq13.1
gangliosidosis GM1;230500;gangliosidosis;cherry red spot of the macula;Abnormality of the macula;GLB1, MPS4B;611458;3p22.3
gangliosidosis GM1;230600;gangliosidosis;decreased beta-galactosidase activity;Abnormality of galactoside metabolism;GLB1, MPS4B;611458;3p22.3
gangliosidosis GM1;230650;gangliosidosis;anterior beaking of lumbar vertebrae;Beaking of vertebral bodies;GLB1, MPS4B;611458;3p22.3
gastrointestinal stromal tumor;606764;gastrointestinal system cancer;neoplasm of the small intestine;Neoplasm of the gastrointestinal tract;KIT, PBT;164920;4q12
gastrointestinal stromal tumor;606764;gastrointestinal system cancer;neoplasm of the small intestine;Neoplasm of the gastrointestinal tract;PDGFRA;173490;4q12
gastrointestinal stromal tumor;606764;gastrointestinal system cancer;neoplasm of the small intestine;Neoplasm of the gastrointestinal tract;SDHB, SDH2, SDHIP, PGL4, CWS2;185470;1p36.13
gastrointestinal stromal tumor;606764;gastrointestinal system cancer;neoplasm of the small intestine;Neoplasm of the gastrointestinal tract;SDHC, PGL3;602413;1q23.3
generalized dystonia;128100;dystonia;incomplete penetrance;Phenotypic variability;DYT1, TOR1A;605204;9q34.11
generalized epilepsy with febrile seizures plus;604233;idiopathic generalized epilepsy;atonic seizures;Generalized seizures;SCN1B, GEFSP1, BRGDA5, ATFB13;600235;19q13.12
generalized epilepsy with febrile seizures plus;604403;idiopathic generalized epilepsy;childhood onset;Onset;SCN1A, GEFSP2, SMEI, FEB3A, EIEE6, FHM3;182389;2q24.3
generalized epilepsy with febrile seizures plus;611277;idiopathic generalized epilepsy;atonic seizures;Generalized seizures;GABRG2, GEFSP3, CAE2, ECA2;137164;5q34
generalized epilepsy with febrile seizures plus;613863;idiopathic generalized epilepsy;atonic seizures;Generalized seizures;SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D;603415;2q24.3
gestational trophoblastic neoplasm;231090;trophoblastic neoplasm;abnormality of the genitourinary system;Phenotypic abnormality;NALP7, NOD12, PYPAF3, HYDM;609661;19q13.42
glucocorticoid-remediable aldosteronism;103900;hyperaldosteronism;adrenal hyperplasia;Abnormality of adrenal morphology;CYP11B1, P450C11, FHI;610613;8q24.3
glycine encephalopathy;605899;amino acid metabolic disorder;impulsivity;Abnormal aggressive, impulsive or violent behavior;AMT, NKH, GCE;238310;3p21.31
glycine encephalopathy;605899;amino acid metabolic disorder;impulsivity;Abnormal aggressive, impulsive or violent behavior;GCSH, NKH;238330;16q23.2
glycine encephalopathy;605899;amino acid metabolic disorder;impulsivity;Abnormal aggressive, impulsive or violent behavior;GLDC, HYGN1, GCSP, GCE, NKH;238300;9p24.1
glycogen storage disease I;232200;glycogen storage disease;decreased glomerular filtration rate;Abnormal glomerular filtration rate;G6PC, G6PT;613742;17q21.31
glycogen storage disease I;232220;glycogen storage disease;decreased glomerular filtration rate;Abnormal glomerular filtration rate;SLC37A4, G6PT1;602671;11q23.3
glycogen storage disease I;232240;glycogen storage disease;spider hemangioma;Teleangiectasia of the skin;SLC37A4, G6PT1;602671;11q23.3
glycogen storage disease II;232300;glycogen storage disease;cognitive impairment;Abnormality of higher mental function;GAA;606800;17q25.3
glycogen storage disease III;232400;glycogen storage disease;cognitive impairment;Abnormality of higher mental function;AGL, GDE;610860;1p21.2
glycogen storage disease IV;232500;glycogen storage disease;tubulointerstitial fibrosis;Tubulointerstitial abnormality;GBE1, GSD4, APBD;607839;3p12.2
glycogen storage disease IX;261750;glycogen storage disease;short stature;Growth delay;PHKB;172490;16q12.1
glycogen storage disease IX;306000;glycogen storage disease;hypercholesterolemia;Abnormality of cholesterol metabolism;PHKA2, PHK, XLG, PHK, PYKL, GSD9A;300798;Xp22.13
glycogen storage disease IX;613027;glycogen storage disease;infantile onset;Onset;PHKG2, GSD9C;172471;16p11.2
glycogen storage disease V;232600;glycogen storage disease;exercise-induced myalgia;Myalgia;PYGM;608455;11q13.1
glycogen storage disease VI;232700;glycogen storage disease;postnatal growth retardation;Growth delay;PYGL;613741;14q22.1
glycogen storage disease VII;232800;glycogen storage disease;reduced erythrocyte 2,3-diphosphoglycerate concentration;Abnormality of erythrocytes;PFKM, GSD7;610681;12q13.11
glycogen storage disease XV;613507;glycogen storage disease;right bundle branch block;Bundle branch block;GYG1, GSD15;603942;3q24
growth hormone secreting pituitary adenoma;102200;functioning pituitary adenoma;galactorrhea;Abnormality of the breast;AIP, XAP2, ARA9;605555;11q13.2
growth hormone secreting pituitary adenoma;102200;functioning pituitary adenoma;galactorrhea;Abnormality of the breast;GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C;139320;20q13.32
growth hormone secreting pituitary adenoma;102200;functioning pituitary adenoma;galactorrhea;Abnormality of the breast;SSTR5;182455;16p13.3
guanidinoacetate methyltransferase deficiency;612736;cerebral creatine deficiency syndrome;infantile muscular hypotonia;Muscular hypotonia;GAMT, CCDS2;601240;19p13.3
gyrate atrophy;258870;choroid disease;posterior subcapsular cataract;Subcapsular cataract;OAT, GACR;613349;10q26.13
hamartoma of hypothalamus;241800;;glioma;Malignant neoplasm of the central nervous system;GLI3, PAPA, PAPB;165240;7p14.1
head and neck squamous cell carcinoma;275355;head and neck carcinoma;squamous cell carcinoma;Neoplasm of the skin;ING1;601566;13q34
head and neck squamous cell carcinoma;275355;head and neck carcinoma;squamous cell carcinoma;Neoplasm of the skin;PTEN, MMAC1, GLM2, CWS1;601728;10q23.31
head and neck squamous cell carcinoma;275355;head and neck carcinoma;squamous cell carcinoma;Neoplasm of the skin;TNFRSF10B, DR5, TRAILR2;603612;8p21.3
hemochromatosis;235200;metal metabolism disorder;arrhythmia;Abnormality of cardiovascular system physiology;BMP2, BMP2A, BDA2;112261;20p12.3
hemochromatosis;235200;metal metabolism disorder;arrhythmia;Abnormality of cardiovascular system physiology;HFE, HLA-H, HFE1, MVCD7, TFQTL2;613609;6p22.2
hemochromatosis;602390;metal metabolism disorder;young adult onset;Adult onset;HJV, HFE2A;608374;1q21.1
hemochromatosis;604250;metal metabolism disorder;increased serum ferritin;Abnormal serum ferritin;TFR2, HFE3;604720;7q22.1
hemochromatosis;606069;metal metabolism disorder;abnormality of iron homeostasis;Abnormality of transition element cation homeostasis;SLC40A1, SLC11A3, FPN1, IREG1, HFE4;604653;2q32.2
hemochromatosis;613313;metal metabolism disorder;abnormality of iron homeostasis;Abnormality of transition element cation homeostasis;HAMP, LEAP1, HEPC, HFE2B;606464;19q13.12
hemolytic anemia;266120;normocytic anemia;hemoglobinuria;Abnormality of urine homeostasis;NT5C3A, NT5C3, UMPH1, PSN1;606224;7p14.3
hemolytic anemia;612631;normocytic anemia;hemolytic anemia;Anemia due to reduced life span of red cells;AK1;103000;9q34.11
hemolytic-uremic syndrome;235400;hemolytic anemia;cognitive impairment;Abnormality of higher mental function;CFHR1, FHR1, HFL1, CFHL1;134371;1q31.3
hemolytic-uremic syndrome;235400;hemolytic anemia;cognitive impairment;Abnormality of higher mental function;CFHR3, FHR3, HLF4, CFHL3;605336;1q31.3
hemolytic-uremic syndrome;235400;hemolytic anemia;cognitive impairment;Abnormality of higher mental function;HF1, CFH, HUS, ARMD4, AHUS1;134370;1q31.3
hemolytic-uremic syndrome;612922;hemolytic anemia;anuria;Decreased urine output;MCP, CD46, AHUS2;120920;1q32.2
hemolytic-uremic syndrome;612923;hemolytic anemia;anuria;Decreased urine output;CFI, FI, AHUS3, ARMD13;217030;4q25
hemolytic-uremic syndrome;612924;hemolytic anemia;anuria;Decreased urine output;CFB, BF, GBG, AHUS4, ARMD14, CFBD;138470;6p21.33
hemolytic-uremic syndrome;612925;hemolytic anemia;anuria;Decreased urine output;C3, ARMD9, AHUS5;120700;19p13.3
hemolytic-uremic syndrome;612926;hemolytic anemia;anuria;Decreased urine output;THBD, THRM, AHUS6, THPH12;188040;20p11.21
hemophagocytic lymphohistiocytosis;603552;lymphatic system disease;hemophagocytosis;Abnormality of macrophages;STX11, FHL4, HPLH4, HLH4;605014;6q24.2
hemophagocytic lymphohistiocytosis;603553;lymphatic system disease;csf pleocytosis;Abnormality of the cerebrospinal fluid;PRF1, HPLH2, FLH2;170280;10q22.1
hemophagocytic lymphohistiocytosis;608898;lymphatic system disease;reduced natural killer cell activity;Abnormal natural killer cell physiology;UNC13D, MUNC13-4, HPLH3, HLH3, FHL3;608897;17q25.1
hemophagocytic lymphohistiocytosis;613101;lymphatic system disease;abnormal natural killer cell physiology;Abnormality of natural killer cells;STXBP2, UNC18B, FHL5;601717;19p13.2
hemophilia B;306900;inherited blood coagulation disease;reduced factor ix activity;Abnormality of the intrinsic pathway;F9, HEMB, THPH8;300746;Xq27.1
hemorrhagic thrombocythemia;187950;chronic myeloproliferative disease;myeloproliferative disorder;Leukemia;CALR, SSA;109091;19p13.2
hemorrhagic thrombocythemia;187950;chronic myeloproliferative disease;myeloproliferative disorder;Leukemia;SH2B3, LNK;605093;12q24.12
hemorrhagic thrombocythemia;187950;chronic myeloproliferative disease;myeloproliferative disorder;Leukemia;THPO, MGDF, MPLLG, TPO, THCYT1;600044;3q27.1
hemorrhagic thrombocythemia;601977;chronic myeloproliferative disease;thrombocytosis;Abnormal platelet count;MPL, TPOR, MPLV, THCYT2;159530;1p34.2
hemorrhagic thrombocythemia;614521;chronic myeloproliferative disease;thrombocytosis;Abnormal platelet count;JAK2, THCYT3;147796;9p24.1
hepatocellular carcinoma;114550;liver carcinoma;subacute progressive viral hepatitis;Viral hepatitis;APC, GS, FPC, BTPS2;611731;5q22.2
hepatocellular carcinoma;114550;liver carcinoma;subacute progressive viral hepatitis;Viral hepatitis;AXIN1, AXIN;603816;16p13.3
hepatocellular carcinoma;114550;liver carcinoma;subacute progressive viral hepatitis;Viral hepatitis;CASP8, MCH5, ALPS2B;601763;2q33.1
hepatocellular carcinoma;114550;liver carcinoma;subacute progressive viral hepatitis;Viral hepatitis;CTNNB1, MRD19;116806;3p22.1
hepatocellular carcinoma;114550;liver carcinoma;subacute progressive viral hepatitis;Viral hepatitis;IGF2R, MPRI;147280;6q25.3
hepatocellular carcinoma;114550;liver carcinoma;subacute progressive viral hepatitis;Viral hepatitis;MET;164860;7q31.2
hepatocellular carcinoma;114550;liver carcinoma;subacute progressive viral hepatitis;Viral hepatitis;PDGFRL, PDGRL, PRLTS;604584;8p22
hepatocellular carcinoma;114550;liver carcinoma;subacute progressive viral hepatitis;Viral hepatitis;PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5;171834;3q26.32
hepatocellular carcinoma;114550;liver carcinoma;subacute progressive viral hepatitis;Viral hepatitis;TP53, P53, LFS1 , BCC7;191170;17p13.1
hereditary angioedema;106100;angioedema;angioedema;Vascular skin abnormality;C1NH, HAE1, HAE2, SERPING1;606860;11q12.1
hereditary angioedema;610618;angioedema;angioedema;Vascular skin abnormality;F12, HAF, HAE3;610619;5q35.3
hereditary breast ovarian cancer;604370;autosomal dominant disease;breast carcinoma;Neoplasm of the breast;BRCA1, PSCP, BROVCA1, PNCA4;113705;17q21.31
hereditary breast ovarian cancer;612555;autosomal dominant disease;breast carcinoma;Neoplasm of the breast;BRCA2, FANCD1, BROVCA2, GLM3, PNCA2;600185;13q13.1
hereditary coproporphyria;121300;acute porphyria;insomnia;Sleep disturbance;CPOX;612732;3q11.2-q12.1
hereditary elliptocytosis;130600;hematopoietic system disease;elliptocytosis;Poikilocytosis;SPTA1, EL2, SPH3, HS3, HPP;182860;1q23.1
hereditary elliptocytosis;611804;hematopoietic system disease;elliptocytosis;Poikilocytosis;EPB41, EL1;130500;1p35.3
hereditary hemorrhagic telangiectasia;187300;autosomal dominant disease;celiac artery aneurysm;Aneurysm of an abdominal artery;ENG, END, HHT1, ORW;131195;9q34.11
hereditary hemorrhagic telangiectasia;600376;autosomal dominant disease;brain abscess;CNS infection;ACVRL1, ACVRLK1, ALK1, HHT2;601284;12q13.13
hereditary hemorrhagic telangiectasia;615506;autosomal dominant disease;spontaneous, recurrent epistaxis;Epistaxis;GDF2, BMP9, HHT5;605120;10q11.22
hereditary lymphedema;153100;lymphedema;hyperkeratosis over edematous areas;Edema;FLT4, VEGFR3, PCL, LMPH1A;136352;5q35.3
hereditary lymphedema;613480;lymphedema;cellulitis;Abnormality of connective tissue;GJC2, GJA12, CX47, PMLDAR, HLD2, SPG44, LMPH1C;608803;1q42.13
hereditary lymphedema;615907;lymphedema;toenail dysplasia;Abnormality of the toenails;VEGFC, VRP, LMPH1D;601528;4q34.3
hereditary mucosal leukokeratosis;193900;skin disease;oral leukoplakia;Abnormality of oral mucosa;KRT4, CYK4, WSN1;123940;12q13.13
hereditary mucosal leukokeratosis;615785;skin disease;hyperparakeratosis;Parakeratosis;KRT13, WSN2;148065;17q21.2
hereditary multiple exostoses;133700;exostosis;short metacarpal;Aplasia/Hypoplasia involving the metacarpal bones;EXT1;608177;8q24.11
hereditary multiple exostoses;133701;exostosis;short metacarpal;Aplasia/Hypoplasia involving the metacarpal bones;EXT2;608210;11p11.2
hereditary night blindness;258100;night blindness;hemeralopia;Abnormality of vision;SAG, RP47;181031;2q37.1
hereditary night blindness;613411;night blindness;congenital stationary night blindness;Night blindness;GRK1, RHOK, RK;180381;13q34
hereditary sensory neuropathy;162400;peripheral neuropathy;chronic axonal neuropathy;Peripheral axonal neuropathy;SPTLC1, LBC1, SPT1, HSN1, HSAN;605712;9q22.31
hereditary sensory neuropathy;201300;peripheral neuropathy;peripheral neuropathy;Abnormal peripheral nervous system morphology;WNK1, PRKWNK1, KDP, PHA2C, HSAN2, HSN2;605232;12p13.33
hereditary sensory neuropathy;256800;peripheral neuropathy;skin ulcer;Localized skin lesion;NTRK1, TRKA, MTC;191315;1q23.1
hereditary sensory neuropathy;608654;peripheral neuropathy;peripheral neuropathy;Abnormal peripheral nervous system morphology;NGF, NGFB, HSAN5;162030;1p13.2
hereditary sensory neuropathy;613115;peripheral neuropathy;osteolytic defects of the phalanges of the hand;Osteolytic defects of the hand bones;FAM134B, HSAN2B;613114;5p15.1
hereditary sensory neuropathy;613640;peripheral neuropathy;skin ulcer;Localized skin lesion;SPTLC2, KIAA0526, SPT2, LCB2, HSN1C, NSAN1C;605713;14q24.3
hereditary sensory neuropathy;613708;peripheral neuropathy;nail dystrophy;Abnormality of the nail;ATL1, SPG3A, HSN1D;606439;14q22.1
hereditary sensory neuropathy;614116;peripheral neuropathy;impulsivity;Abnormal aggressive, impulsive or violent behavior;DNMT1, MCMT, HSN1E, ADCADN;126375;19p13.2
hereditary sensory neuropathy;614213;peripheral neuropathy;peripheral neuropathy;Abnormal peripheral nervous system morphology;KIF1A, ATSV, UNC104, SPG30, HSN2C, MRD9;601255;2q37.3
hereditary sensory neuropathy;614653;peripheral neuropathy;feeding difficulties;Abdominal symptom;DST, BPAG1, DMH, D6S1101, HSAN6, EBSB2;113810;6p12.1
hereditary sensory neuropathy;615548;peripheral neuropathy;pain insensitivity;Impaired pain sensation;SCN11A, HSAN7, FEPS3;604385;3p22.2
hereditary sensory neuropathy;615632;peripheral neuropathy;osteolytic defects of the phalanges of the hand;Osteolytic defects of the hand bones;ATL3, HSN1F;609369;11q12.3-q13.1
hereditary spastic paraplegia;182600;paraplegia;paraplegia;Paraplegia/paraparesis;ATL1, SPG3A, HSN1D;606439;14q22.1
hereditary spastic paraplegia;182601;paraplegia;paraplegia;Paraplegia/paraparesis;SPAST, SPG4;604277;2p22.3
hereditary spastic paraplegia;270685;paraplegia;lower limb muscle weakness;Limb muscle weakness;BSCL2, SPG17, HMN5, PELD;606158;11q12.3
hereditary spastic paraplegia;270700;paraplegia;lower limb muscle weakness;Limb muscle weakness;ZFYVE26, KIAA0321, SPG15;612012;14q24.1
hereditary spastic paraplegia;270800;paraplegia;paraplegia;Paraplegia/paraparesis;CYP7B1, CBAS3, SPG5A;603711;8q12.3
hereditary spastic paraplegia;275900;paraplegia;clinodactyly;Abnormality of digit;SPG20;607111;13q13.3
hereditary spastic paraplegia;312920;paraplegia;cognitive impairment;Abnormality of higher mental function;PLP1, PMD, HLD1, SPG2;300401;Xq22.2
hereditary spastic paraplegia;600363;paraplegia;lower limb muscle weakness;Limb muscle weakness;NIPA1, SPG6;608145;15q11.2
hereditary spastic paraplegia;603563;paraplegia;lower limb muscle weakness;Limb muscle weakness;KIAA0196, SPG8, RTSC;610657;8q24.13
hereditary spastic paraplegia;604187;paraplegia;knee clonus;Clonus;KIF5A, NKHC, SPG10;602821;12q13.3
hereditary spastic paraplegia;604360;paraplegia;tip-toe gait;Gait disturbance;SPG11, KIAA1840, FLJ21439;610844;15q21.1
hereditary spastic paraplegia;604805;paraplegia;knee clonus;Clonus;RTN2, NSPL1, SPG12;603183;19q13.32
hereditary spastic paraplegia;605280;paraplegia;lower limb muscle weakness;Limb muscle weakness;HSPD1, SPG13, HSP60, HLD4;118190;2q33.1
hereditary spastic paraplegia;607259;paraplegia;lower limb muscle weakness;Limb muscle weakness;PGN, SPG7, CMAR, CAR;602783;16q24.3
hereditary spastic paraplegia;609195;paraplegia;dyskinesia;Abnormality of movement;B4GALNT1, GALGT, GALNACT, SPG26;601873;12q13.3
hereditary spastic paraplegia;609340;paraplegia;lower limb muscle weakness;Limb muscle weakness;DDHD1, PAPLA1, KIAA1705, SPG28;614603;14q22.1
